Unique Session ID,Presentation Title, Presentation Tags, Speaker IDs
,Mode Choice Modelling Using Personalized Travel Time and Cost Data: Case Study of Greater Chicago Area USA,podium,"raman-shabanpour-anbarani,mahmoud-javanmarti,mehran-fasihozaman-langerudi,abolfazl-mohammadian"
,Scenario Analysis Using Mode Choice Model with Latent Attitudinal Variables,podium,"mark-bradley,greg-spitz,matthew-coogan"
