First Name (required),Last Name (required),Title,Company,Description,Image URL,Website,Twitter Handle,Facebook URL,LinkedIn URL,Session IDs,Attendee ID,Speaker ID,
Jiji,Kottommannil,,AECOM,,,,,,,,,jiji-kottommannil,
Josephine,Kressner,,Transport Foundary,,,,,,,,,josephine-kressner,
Amit,Kumar,,Georgia Tech,,,,,,,,,amit-kumar,
Arun,Kuppam,,Cambridge Systematics,,,,,,,,,arun-kuppam,
David,Kurth,,Cambridge Systematics,,,,,,,,,david-kurth,
Stephen,Lawe,,RSG,,,,,,,,,stephen-lawe,
Jason,Lemp,,Cambridge Systematics,,,,,,,,,jason-lemp,
Kristina,Lerman,,University of Southern California,,,,,,,,,kristina-lerman,
Li,Li,,Whitman Requardt and Associates,,,,,,,,,li-li,
Boris,Lipkin,,California High Speed Rail Authority,,,,,,,,,boris-lipkin,
Feng,Liu,,Cambridge Systematics,,,,,,,,,feng-liu,
Vladimir,Livshits,,Maricopa Association of Governments,,,,,,,,,vladimir-livshits,
Greg,Macfarlane,,WSP Parsons Brinckerhoff,,,,,,,,,greg-macfarlane,
Reuben,MacMartin,,Delaware Valley Regional Planning Commission,,,,,,,,,reuben-macmartin,
Kavitha,Madhu,,Indian Institute of Technology Madras,,,,,,,,,kavitha-madhu,
Michael,Mahut,,INRO,,,,,,,,,michael-mahut,
Yegor,Malinovsky,,INRIX,,,,,,,,,yegor-malinovsky,
Juan,Manuel Mayoral,,Universidad Nacional Autonoma de Mexico,,,,,,,,,juan-manuel-mayoral,
Martin,Milkovitis,,Cambridge Systematics,,,,,,,,,martin-milkovitis,
Eric,Miller,Professor,University of Toronto,,http://i1.wp.com/civil.engineering.utoronto.ca/wp-content/uploads/2015/08/24_2188095.jpg?zoom=2&resize=140%2C187,http://civil.engineering.utoronto.ca/staff/professors/eric-miller/,,,,,,eric-miller,
Sabyasachee,Mishra,,University of Memphis,,,,,,,,,sabyasachee-mishra,
Tudor,Mocanu,,German Aerospace Center,,,,,,,,,tudor-mocanu,
Rolf,Moeckel,,Technical University Munich,,,,,,,,,rolf-moeckel,
Abolfazl,Mohammadian,,University of Illinois at Chicago,,,,,,,,,abolfazl-mohammadian,
Paul,Morris,,SRF Conluting Group,,,,,,,,,paul-morris,
Amire,Mossek,,Jerusalem Transportation Master Plan Team,,,,,,,,,amire-mossek,
Kanchana,Nanduri,,Caliper Corporation,,,,,,,,,kanchana-nanduri,
Brice,Nichols,,Puget Sound Regional Council,,,,,,,,,brice-nichols,
Felix,Nwoko,,Durham Chapel Hill Carrboro MPO,,,,,,,,,felix-nwoko,
David,Ory,,Metropolitan Transportation Commission,,,,,,,,,david-ory,
Maren,Outwater,,RSG,,,,,,,,,maren-outwater,
Tim,Padgett,,Kimley-Horn,,,,,,,,,tim-padgett,
Rajesh,Paleti,,Old Dominion Universitoy,,,,,,,,,rajesh-paleti,
Birat,Pandey,,Federal Highways Administration,,,,,,,,,birat-pandey,
Tushar,Patel,,AECOM,,,,,,,,,tushar-patel,
Zachary,Patterson,,Concordia University,,,,,,,,,zachary-patterson,
Ram,Pendyala,,Georgia Tech,,,,,,,,,ram-pendyala,
Kenneth,Perrine,,University of Texas,,,,,,,,,kenneth-perrine,
Scott,Peterson,,Boston Region MPO,,,,,,,,,scott-peterson,
Rosella,Picado,,WSP Parsons Brinckerhoff,,,,,,,,,rosella-picado,
Eric,Pihl,,Federal Highways Administration,,,,,,,,,eric-pihl,
Abdul,Pinjari,,University of South Florida,,,,,,,,,abdul-pinjari,
Keith,Privett,,City of Chicago,,,,,,,,,keith-privett,
Kimon,Proussaloglou,,Cambridge Systematics,,,,,,,,,kimon-proussaloglou,
Jeremy,Raw,,Federal Highways Administration,,,,,,,,,jeremy-raw,
Asif,Rehan,,University of Connecticut,,,,,,,,,asif-rehan,
Michael,Reilly,,Metropolitan Transportation Commission,,,,,,,,,michael-reilly,
Erich,Rentz,,RSG,,,,,,,,,erich-rentz,
Doug,Rex,,Denver Regional Council of Governments,,,,,,,,,doug-rex,
David,Roden,,AECOM,,,,,,,,,david-roden,
Luis,Roman,,Universidad Nacional Autonoma de Mexico,,,,,,,,,luis-roman,
Azucena,Roman de la Sancha,,Universidad Nacional Autonoma de Mexico,,,,,,,,,azucena-roman-de-la-sancha,
Tom,Rossi,,Cambridge Systematics,,,,,,,,,tom-rossi,
Guy,Rousseau,,Atlanta Regional Council,,,,,,,,,guy-rousseau,
Natalia,Ruiz Juri,,University of Texas,,,,,,,,,natalia-ruiz-juri,
Hadi,Sadrasadat,,RSG,,,,,,,,,hadi-sadrasadat,
Elizabeth,Sall,,Urban Labs LLC,,,,,,,,,elizabeth-sall,
sample name,sample name,Chief Marketing Officer,DoubleDutch,sample description,http://doubledutch.me/images/team/nicholas-clark.jpg,https://doubledutch.me,doubledutch,https://www.facebook.com/playDoubleDutch,https://www.linkedin.com/company/doubledutch,"Session Unique ID #1, Session Unique ID #2",Attendee Unique ID,sample-name-sample-name,
Bhargava,Sana,,San Francisco County Transportation Authority,,,,,,,,,bhargava-sana,
Adela,Santos,,Federal Highways Administration,,,,,,,,,adela-santos,
Michael,Schwartz,,San Francisco County Transportation Authority,,,,,,,,,michael-schwartz,
Erdogan,Sevgi,,University of Maryland,,,,,,,,,erdogan-sevgi,
Ramin,Shabanpour Anbarani,,University of Illinois at Chicago,,,,,,,,,ramin-shabanpour-anbarani,
R,Sivanandan,,Indian Institute of Technology Madras,,,,,,,,,r-sivanandan,
Colin,Smith,,RSG,,,,,,,,,colin-smith,
Anabelle,Spinoulas,,TransPosition,,,,,,,,,anabelle-spinoulas,
Greg,Spitz,,RSG,,,,,,,,,greg-spitz,
Siva,Srinivasan,,University of Florida,,,,,,,,,siva-srinivasan,
Karthik,Srinivasan,,Indian Institute of Technology Madras,,,,,,,,,karthik-srinivasan,
Jeffrey,Sriver,,City of Chicago,,,,,,,,,jeffrey-sriver,
Ben,Stabler,,RSG,,,,,,,,,ben-stabler,
Wu,Sun,,San Diego Association of Governments,,,,,,,,,wu-sun,
Aaron,Sussman,,Mid-Region Council of Governments,,,,,,,,,aaron-sussman,
Scott,Thompson Graves,,Whitman Requardt and Associates,,,,,,,,,scott-thompson-graves,
Daniel,Tischler,,San Francisco County Transportation Authority,,,,,,,,,daniel-tischler,
Ashley,Tracy,,Whitman Requardt and Associates,,,,,,,,,ashley-tracy,
Steven,Trevino,,RSG,,,,,,,,,steven-trevino,
Krishnan,Viswanathan,,Cambridge Systematics,,,,,,,,,krishnan-viswanathan,
Peter,Vovsha,,WSP Parsons Brinckerhoff,,,,,,,,,peter-vovsha,
Guarav,Vyas,,WSP Parsons Brinckerhoff,,,,,,,,,guarav-vyas,
Joan,Walker,,"University of California, Berkeley",,,,,,,,,joan-walker,
Richard,Walker,,Portland METRO,,,,,,,,,richard-walker,
Haizhong,Wang,,Oregon State University,,,,,,,,,haizhong-wang,
Menglin,Wang,,Cambridge Systematics,,,,,,,,,menglin-wang,
Liming,Wang,,Portland State University,,,,,,,,,liming-wang,
Tara,Weidner,,Oregon Department of Transportation,,,,,,,,,tara-weidner,
Kermit,Wies,Retiree,Chicago Metropolitan Agency for Planning,,https://media.licdn.com/mpr/mpr/shrinknp_200_200/p/1/000/097/09c/3342178.jpg,https://www.linkedin.com/in/kermit-wies-7a93a128,,,,,,kermit-wies,
Timothy,Welch,,Georgia Tech,,,,,,,,,timothy-welch,
Robert,Wertman,,Heartland MPO,,,,,,,,,robert-wertman,
Christian,Winkler,,German Aerospace Center,,,,,,,,,christian-winkler,
Di,Yang,,University of Maryland,,,,,,,,,di-yang,
Daehyun,You,,Georgia Tech,,,,,,,,,daehyun-you,
Lei,Zhang,,University of Maryland,,,,,,,,,lei-zhang,
Yanping,Zhang,,Durham Chapel Hill Carrboro MPO,,,,,,,,,yanping-zhang,
Xuesong,Zhou,,Arizona State University,,,,,,,,,xuesong-zhou,
Joseph,Zissman,,Cambridge Systematics,,,,,,,,,joseph-zissman,
Lisa,Zorn,,Metropolitan Transportation Commission,,,,,,,,,lisa-zorn,
